STATION,time,LATITUDE,LONGITUDE,ELEVATION,TEMP,PRCP,WDSP,DEWP,STP,SLP,VISIB,u10,v10,z,lsm,z_500,t_500,q_500,u_500,v_500,w_500,z_850,t_850,q_850,u_850,v_850,w_850,day_sin,day_cos,month_sin,month_cos,moist_convection_500,moist_convection_850,lapse_rate_850_500,dew_point_depression,du_850_500,dv_850_500,wind_shear_mag,du_dt_850,dv_dt_850,ageostrophic_signal,thickness_500_850,elevation_diff,moisture_flux_850,PRCP_lag_1,PRCP_lag_2,u_850_lag_1,u_850_lag_2,v_850_lag_1,v_850_lag_2,TEMP_lag_1,TEMP_lag_2,DEWP_lag_1,DEWP_lag_2,SLP_lag_1,SLP_lag_2,VISIB_lag_1,VISIB_lag_2,dew_point_depression_lag_1,dew_point_depression_lag_2,moisture_flux_850_lag_1,moisture_flux_850_lag_2,moist_convection_850_3d_mean,dew_point_depression_3d_mean,moisture_flux_850_3d_mean,TEMP_3d_mean,DEWP_3d_mean,SLP_3d_mean,VISIB_3d_mean,moisture_flux_3d_sum,PRCP_past_3d_mean,PRCP_past_3d_sum,PRCP_label,PRCP_log1p
48863099999,2022-07-02,15.1333,108.7833,9.0,30.5,0.0,0.8746,24.5,999.0,1000.1,18.8293,0.7271,0.7275,91.2362,0.7735,5835.477,-3.0252,0.0053,10.8975,5.9411,0.1857,1434.2434,22.6732,0.0125,12.1712,1.6235,0.0695,-0.008606996888688009,-0.9999629591162655,-0.4999999999999997,-0.8660254037844388,0.0009842100000000001,0.0008687500000000002,0.0058389084369436794,6.0,1.2736999999999998,-4.3176,4.501553226387531,0.21560000000000024,2.2991,2.3091869066838226,4401.2336,-82.2362,0.15348751053119114,0.254,7.366,11.9556,6.5477,-0.6756,-1.1178,27.5556,29.2778,24.7778,24.5,1000.3,1000.6,19.9558,16.2543,2.777799999999999,4.777799999999999,0.1580656909101175,0.09697945143189253,0.0007502900000000024,4.518533333333333,0.13617755095773368,29.11113333333333,24.5926,1000.3333333333331,18.346466666666682,0.40853265287320106,2.5399999999999903,7.619999999999971,0,0.0
48863099999,2022-07-03,15.1333,108.7833,9.0,32.1667,0.0,0.7717,23.9444,991.5184,1001.7,19.9558,0.4511,1.6089,91.2362,0.7735,5854.649,-2.7218,0.0047,7.1921,3.568,0.0881,1453.2554,21.3653,0.0142,7.1679,0.6172,0.1923,-0.02581844022713239,-0.9996666485105112,-0.4999999999999997,-0.8660254037844388,0.00041407,0.00273066,0.0054726075850158,8.222299999999997,-0.024199999999999555,-2.9508,2.950899232437462,-5.0033,-1.0063,5.1034939580644165,4401.3936,-82.2362,0.10216081049526772,0.0,0.254,12.1712,11.9556,1.6235,-0.6756,30.5,27.5556,24.5,24.7778,1000.1,1000.3,18.8293,19.9558,6.0,2.777799999999999,0.15348751053119114,0.1580656909101175,0.0015271633333333358,5.666699999999999,0.13790467064552542,30.0741,24.4074,1000.6999999999999,19.580300000000012,0.41371401193657625,2.5399999999999903,7.619999999999971,0,0.0
48863099999,2022-07-04,15.1333,108.7833,9.0,32.1667,0.0,0.6173,24.7778,992.0369,1002.4,19.9558,0.1122,0.9224,91.2362,0.7735,5863.855,-2.9762,0.0043,1.5232,2.2854,0.0129,1460.5267,21.5914,0.0146,2.1506,0.7291,-0.1806,-0.04302223300453034,-0.99907411510223,-0.4999999999999997,-0.8660254037844388,5.547e-05,-0.00263676,0.005579325075534341,7.3889,0.6273999999999997,-1.5563000000000002,1.6780049016614942,-5.0173000000000005,0.1119,5.018547688325778,4403.328299999999,-82.2362,0.033154112474279865,0.0,0.0,7.1679,12.1712,0.6172,1.6235,32.1667,30.5,23.9444,24.5,1001.7,1000.1,19.9558,18.8293,8.222299999999997,6.0,0.10216081049526772,0.15348751053119114,0.00032088333333333587,7.203733333333332,0.09626747783357954,31.61113333333334,24.4074,1001.4,19.580300000000012,0.28880243350073864,0.08466666666665719,0.2539999999999716,0,0.0
48863099999,2022-07-05,15.1333,108.7833,9.0,30.8889,9.398,1.1318,25.4444,993.3098,1003.9,13.6794,-0.3256,0.3321,91.2362,0.7735,5871.27,-2.9533,0.0038,0.8239,1.6731,-0.1296,1470.6378,21.6104,0.0149,1.4907,0.9066,-0.1141,-0.060213277365792774,-0.9981855344718586,-0.4999999999999997,-0.8660254037844388,-0.00049248,-0.0017000899999999998,0.005581857079535071,5.444499999999998,0.6668,-0.7665000000000001,1.0159451215493878,-0.6598999999999999,0.1775,0.6833551492452514,4400.6322,-82.2362,0.025996593473001418,0.0,0.0,2.1506,7.1679,0.7291,0.6172,32.1667,32.1667,24.7778,23.9444,1002.4,1001.7,19.9558,19.9558,7.3889,8.222299999999997,0.033154112474279865,0.10216081049526772,-0.0005353966666666642,7.018566666666665,0.05377050548084964,31.74076666666667,24.7222,1002.6666666666666,17.863666666666678,0.16131151644254893,0.0,0.0,1,2.341613479961524
48863099999,2022-07-06,15.1333,108.7833,9.0,30.5556,0.0,0.8746,24.7778,994.8078,1005.0,19.9558,0.4775,0.5148,91.2362,0.7735,5874.996,-3.9524,0.0036,0.0782,0.4241,-0.1643,1480.5283,20.8199,0.0147,0.05,0.4905,0.0604,-0.07738647923346322,-0.9970011699250151,-0.4999999999999997,-0.8660254037844388,-0.00059148,0.00088788,0.0056371560086788215,5.777799999999999,-0.028200000000000003,0.06640000000000001,0.07214014139159974,-1.4406999999999999,-0.41609999999999997,1.4995851759736756,4394.4677,-82.2362,0.007247714958695603,9.398,0.0,1.4907,2.1506,0.9066,0.7291,30.8889,32.1667,25.4444,24.7778,1003.9,1002.4,13.6794,19.9558,5.444499999999998,7.3889,0.025996593473001418,0.033154112474279865,-0.0011496566666666643,6.203733333333332,0.022132806968658936,31.203733333333332,25.0,1003.7666666666665,17.863666666666678,0.06639842090597681,3.132666666666657,9.397999999999971,0,0.0
48863099999,2022-07-07,15.1333,108.7833,9.0,30.7778,0.0,2.2636,25.0,994.7467,1005.2,19.9558,0.2788,0.2842,91.2362,0.7735,5867.682,-3.8342,0.0033,-2.2789,-0.5542,-0.0881,1479.0223,20.4447,0.0152,0.3586,0.9853,-0.01,-0.09453674981719933,-0.9955213724144752,-0.4999999999999997,-0.8660254037844388,-0.00029073,-0.000152,0.0055321901581933995,5.777799999999999,2.6375,1.5394999999999999,3.0539264071028303,0.3086,0.49479999999999996,0.583147494207083,4388.6597,-82.2362,0.01593761895491293,0.0,9.398,0.05,1.4907,0.4905,0.9066,30.5556,30.8889,24.7778,25.4444,1005.0,1003.9,19.9558,13.6794,5.777799999999999,5.444499999999998,0.007247714958695603,0.025996593473001418,-0.0003214033333333309,5.666699999999999,0.016393975795536624,30.740766666666662,25.074066666666667,1004.6999999999999,17.863666666666678,0.04918192738660987,3.132666666666657,9.397999999999971,0,0.0
48863099999,2022-07-08,15.1333,108.7833,9.0,29.8889,0.0,1.1318,25.5,994.5658,1004.8,15.4497,0.0634,-0.033,91.2362,0.7735,5855.482,-3.9334,0.0043,-3.0481,-2.1389,-0.0946,1471.812,19.7573,0.0143,0.0511,-3.0579,0.015,-0.11165900712169444,-0.9937465804361781,-0.4999999999999997,-0.8660254037844388,-0.00040678000000000003,0.00021449999999999998,0.005404307349777698,4.3889,3.0991999999999997,-0.919,3.232584359301393,-0.3075,-4.0432,4.0548763840590745,4383.67,-82.2362,0.04373407512059447,0.0,0.0,0.3586,0.05,0.9853,0.4905,30.7778,30.5556,25.0,24.7778,1005.2,1005.0,19.9558,19.9558,5.777799999999999,5.777799999999999,0.01593761895491293,0.007247714958695603,0.0003167933333333357,5.314833333333333,0.02230646967806764,30.40743333333333,25.0926,1004.9999999999999,18.45376666666668,0.06691940903420292,3.132666666666657,9.397999999999971,0,0.0
48863099999,2022-07-09,15.1333,108.7833,9.0,26.6111,24.892,0.9774,24.4444,993.8258,1004.2,11.7482,-0.1404,-0.7236,91.2362,0.7735,5835.7295,-3.4936,0.0055,-5.1748,-2.5301,0.1087,1457.8387,18.9165,0.0136,2.0032,-4.3987,0.0482,-0.12874817745258066,-0.99167731989929,-0.4999999999999997,-0.8660254037844388,0.00059785,0.0006555199999999999,0.005118926218991118,2.1666999999999987,7.178000000000001,-1.8685999999999998,7.417233308990625,1.9521000000000002,-1.3407999999999998,2.368214316737402,4377.8908,-82.2362,0.06573370027750453,0.0,0.0,0.0511,0.3586,-3.0579,0.9853,29.8889,30.7778,25.5,25.0,1004.8,1005.2,15.4497,19.9558,4.3889,5.777799999999999,0.04373407512059447,0.01593761895491293,0.00023934000000000235,4.111133333333332,0.04180179811767062,29.0926,24.981466666666666,1004.7333333333332,15.717900000000013,0.12540539435301185,0.0,0.0,1,3.2539340406832635
48863099999,2022-07-10,15.1333,108.7833,9.0,27.5,3.048,0.8746,24.7222,993.2125,1003.4,16.2543,1.347,-1.1567,91.2362,0.7735,5840.709,-2.5595,0.0053,-7.6518,2.5279,-0.0898,1450.0659,18.3918,0.0139,3.9031,-3.9859,0.2291,-0.14579919691987442,-0.9893142039703664,-0.4999999999999997,-0.8660254037844388,-0.00047594000000000005,0.00318449,0.004771806663128689,2.777799999999999,11.5549,-6.5138,13.264437585137186,1.8998999999999997,0.41279999999999983,1.9442283430708438,4390.643099999999,-82.2362,0.07754354969066221,24.892,0.0,2.0032,0.0511,-4.3987,-3.0579,26.6111,29.8889,24.4444,25.5,1004.2,1004.8,11.7482,15.4497,2.1666999999999987,4.3889,0.06573370027750453,0.04373407512059447,0.0013515033333333355,3.1111333333333326,0.06233710836292037,28.0,24.88886666666667,1004.1333333333332,14.484066666666678,0.18701132508876112,8.297333333333324,24.89199999999997,1,1.3982229319851645
48863099999,2022-07-11,15.1333,108.7833,9.0,28.8889,2.794,0.6173,25.4444,993.4802,1004.0,18.8293,-0.5091,0.168,91.2362,0.7735,5850.855,-2.584,0.0043,-9.0711,3.0008,-0.0483,1455.6855,18.9393,0.0143,0.3457,1.0264,-0.0136,-0.16280701293851646,-0.9866579328916572,-0.4999999999999997,-0.8660254037844388,-0.00020769,-0.00019448,0.004897035256546989,3.444499999999998,9.4168,-1.9744,9.621557961162008,-3.5574,5.0123,6.146401064850878,4395.1695,-82.2362,0.015487668787474117,3.048,24.892,3.9031,2.0032,-3.9859,-4.3987,27.5,26.6111,24.7222,24.4444,1003.4,1004.2,16.2543,11.7482,2.777799999999999,2.1666999999999987,0.07754354969066221,0.06573370027750453,0.001215176666666669,2.796333333333332,0.05292163958521359,27.666666666666668,24.870333333333335,1003.8666666666664,15.610600000000012,0.15876491875564078,9.313333333333324,27.93999999999997,1,1.3334208715128224
48863099999,2022-07-12,15.1333,108.7833,9.0,28.7778,0.254,0.9774,25.1667,993.3994,1003.3,16.2543,-1.6124,0.7037,91.2362,0.7735,5844.381,-3.1991,0.0051,-9.2234,3.4791,0.1252,1455.8512,18.886,0.0138,-3.1754,1.994,-0.0143,-0.17976658572556214,-0.9837092937736098,-0.4999999999999997,-0.8660254037844388,0.0006385200000000001,-0.00019734,0.0050324598456640305,3.6111000000000004,6.048,-1.4850999999999999,6.2276661768274,-3.5210999999999997,0.9676,3.651629084395073,4388.5298,-82.2362,0.051743929778384636,2.794,3.048,0.3457,3.9031,1.0264,-3.9859,28.8889,27.5,25.4444,24.7222,1004.0,1003.4,18.8293,16.2543,3.444499999999998,2.777799999999999,0.015487668787474117,0.07754354969066221,0.0009308900000000022,3.277799999999999,0.048258382752173624,28.388899999999996,25.111099999999997,1003.5666666666666,17.112633333333346,0.14477514825652088,10.244666666666657,30.73399999999997,1,0.22633844221072896
48863099999,2022-07-13,15.1333,108.7833,9.0,27.8333,21.59,0.7717,25.3333,992.2557,1002.6,13.6794,-0.449,0.8685,91.2362,0.7735,5835.352,-3.0665,0.0053,-3.9327,4.2952,-0.1426,1444.8368,18.9951,0.0144,-1.9037,2.8856,-0.0589,-0.19667288979357622,-0.9804691603616321,-0.4999999999999997,-0.8660254037844388,-0.0007557800000000001,-0.00084816,0.005024831709955133,2.5,2.029,-1.4096000000000002,2.470589638122851,1.2716999999999998,0.8916000000000002,1.5531166891125727,4390.5152,-82.2362,0.04978061682349868,0.254,2.794,-3.1754,0.3457,1.994,1.0264,28.7778,28.8889,25.1667,25.4444,1003.3,1004.0,16.2543,18.8293,3.6111000000000004,3.444499999999998,0.051743929778384636,0.015487668787474117,-0.0004133266666666643,3.1851999999999996,0.039004071796452454,28.5,25.3148,1003.2999999999998,16.254333333333346,0.11701221538935735,2.0319999999999907,6.095999999999972,1,3.1175073304799117
48863099999,2022-07-14,15.1333,108.7833,9.0,29.5,0.0,1.1318,25.5,993.3358,1003.6,19.9558,-0.2702,-0.0079,91.2362,0.7735,5855.9175,-2.2627,0.004,-4.9895,10.5345,-0.2154,1456.097,19.3528,0.0148,-0.1765,2.0756,0.0478,-0.2135209154397959,-0.9769384927771817,-0.4999999999999997,-0.8660254037844388,-0.0008616,0.00070744,0.004912814056846182,4.0,4.813,-8.4589,9.732315151596767,1.7271999999999998,-0.81,1.907700144152639,4399.8205,-82.2362,0.03082974500858546,21.59,0.254,-1.9037,-3.1754,2.8856,1.994,27.8333,28.7778,25.3333,25.1667,1002.6,1003.3,13.6794,16.2543,2.5,3.6111000000000004,0.04978061682349868,0.051743929778384636,-0.00011268666666666438,3.370366666666667,0.04411809720348956,28.703699999999998,25.333333333333332,1003.1666666666666,16.629833333333345,0.1323542916104687,8.212666666666657,24.63799999999997,0,0.0
48863099999,2022-07-15,15.1333,108.7833,9.0,30.2222,0.0,1.1318,25.7222,994.8028,1005.0,19.9558,0.1653,0.3622,91.2362,0.7735,5877.4688,-3.1342,0.0034,-7.0959,5.1734,-0.1047,1472.9768,19.9425,0.0153,0.2732,1.6321,0.0246,-0.23030567023061196,-0.973118337233262,-0.4999999999999997,-0.8660254037844388,-0.00035598,0.00037638,0.005239355639651519,4.5,7.3691,-3.5412999999999997,8.17584494104432,0.4497,-0.4435,0.6316029923931646,4404.492,-82.2362,0.02531855839258033,0.0,21.59,-0.1765,-1.9037,2.0756,2.8856,29.5,27.8333,25.5,25.3333,1003.6,1002.6,19.9558,13.6794,4.0,2.5,0.03082974500858546,0.04978061682349868,7.855333333333566e-05,3.6666666666666665,0.035309640074888134,29.185166666666664,25.5185,1003.7333333333332,17.863666666666678,0.10592892022466441,7.2813333333333246,21.843999999999973,0,0.0
48863099999,2022-07-16,15.1333,108.7833,9.0,29.8333,0.0,0.9774,25.6667,995.4292,1006.1,14.9669,-0.2153,0.6969,91.2362,0.7735,5884.314,-3.5317,0.0029,-7.5936,2.4004,-0.0561,1482.7427,20.3357,0.0147,1.7008,1.4024,0.1233,-0.24702218048093527,-0.9690098257244063,-0.4999999999999997,-0.8660254037844388,-0.00016268999999999998,0.00181251,0.005422472651982258,4.1666000000000025,9.2944,-0.9979999999999998,9.347827306920042,1.4276,-0.22970000000000002,1.445961220088561,4401.5713000000005,-82.2362,0.03240490352671953,0.0,0.0,0.2732,-0.1765,1.6321,2.0756,30.2222,29.5,25.7222,25.5,1005.0,1003.6,19.9558,19.9558,4.5,4.0,0.02531855839258033,0.03082974500858546,0.0009654433333333356,4.222200000000001,0.029517735642628416,29.85183333333333,25.62963333333333,1004.9,18.292833333333345,0.08855320692788525,7.196666666666658,21.589999999999975,0,0.0
48863099999,2022-07-17,15.1333,108.7833,9.0,29.8889,0.254,1.2347,24.7222,995.3077,1005.5,16.2543,0.3868,0.3278,91.2362,0.7735,5877.8745,-4.7882,0.0041,-6.3679,-1.181,0.1753,1483.1102,20.9484,0.0141,1.9601,1.0846,0.3346,-0.2636654927280072,-0.9646141756912435,-0.4999999999999997,-0.8660254037844388,0.0007187300000000001,0.00471786,0.00585619574637939,5.166699999999999,8.328,2.2656,8.630673633036995,0.25929999999999986,-0.3178000000000001,0.41016256533233253,4394.7643,-82.2362,0.031586357790788416,0.0,0.0,1.7008,0.2732,1.4024,1.6321,29.8333,30.2222,25.6667,25.7222,1006.1,1005.0,14.9669,19.9558,4.1666000000000025,4.5,0.03240490352671953,0.02531855839258033,0.002302250000000002,4.6111,0.029769939903362738,29.981466666666666,25.370366666666666,1005.5333333333333,17.05900000000001,0.08930981971008821,0.0,0.0,1,0.22633844221072896
48863099999,2022-07-18,15.1333,108.7833,9.0,29.3889,5.842,0.9774,23.7222,993.879,1004.4,19.9558,-0.4938,0.8965,91.2362,0.7735,5867.5747,-4.8591,0.0038,-5.1443,-0.7717,0.0495,1471.7495,21.2805,0.0136,0.4256,0.591,0.1375,-0.2802306751992161,-0.9599326896597445,-0.4999999999999997,-0.8660254037844388,0.00018810000000000002,0.0018700000000000001,0.0059464602914601795,5.666699999999999,5.5699000000000005,1.3627,5.734172765098729,-1.5345,-0.49360000000000004,1.6119339967877098,4395.8252,-82.2362,0.00990483770415245,0.254,0.0,1.9601,1.7008,1.0846,1.4024,29.8889,29.8333,24.7222,25.6667,1005.5,1006.1,16.2543,14.9669,5.166699999999999,4.1666000000000025,0.031586357790788416,0.03240490352671953,0.002800123333333336,5.0,0.024632033007220108,29.703699999999998,24.703699999999998,1005.3333333333334,17.05900000000001,0.07389609902166032,0.08466666666665719,0.2539999999999716,1,1.923080086555413
