Model,MAE,RMSE,R2
Linear Regression,7.6703029822320214,21.751814564581316,0.24793704379852388
Decision Tree,7.598475334251353,22.395361422960185,0.2027778359317064
Random Forest,7.455581968948452,19.85820939242845,0.37317922137332216
XGBoost,6.615948926219354,19.15597747241289,0.41672703336747663
