"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"48866099999","2017-01-01","14.004522","108.017158","741.88","PLEIKU, VM","  72.1"," 8","  64.4"," 8","1013.8"," 8","926.9"," 8"," 12.4"," 8","  7.0"," 8"," 11.7","999.9","  80.1","*","  66.2"," "," 0.00","G","999.9","000000"
"48866099999","2017-01-02","14.004522","108.017158","741.88","PLEIKU, VM","  73.2"," 8","  64.4"," 8","1014.3"," 8","926.9"," 8"," 12.4"," 8","  6.3"," 8","  9.7","999.9","  81.9","*","  66.9"," "," 0.00","G","999.9","000000"
"48866099999","2017-01-03","14.004522","108.017158","741.88","PLEIKU, VM","  70.6"," 8","  60.2"," 8","1014.0"," 8","926.2"," 8"," 12.4"," 8","  6.8"," 8"," 13.6","999.9","  81.0","*","  64.4","*"," 0.00","G","999.9","000000"
"48866099999","2017-01-04","14.004522","108.017158","741.88","PLEIKU, VM","  70.1"," 8","  62.7"," 8","1013.3"," 8","925.6"," 8"," 12.4"," 8","  4.9"," 8","  7.8","999.9","  79.5","*","  61.2"," "," 0.00","G","999.9","000000"
"48866099999","2017-01-05","14.004522","108.017158","741.88","PLEIKU, VM","  71.9"," 8","  62.3"," 8","1012.0"," 8","924.6"," 8"," 12.4"," 8","  5.6"," 8","  9.7","999.9","  82.2","*","  63.5"," "," 0.00","G","999.9","000000"
"48866099999","2017-01-06","14.004522","108.017158","741.88","PLEIKU, VM","  70.9"," 8","  63.1"," 8","1011.7"," 8","924.2"," 8"," 12.4"," 8","  5.5"," 7","  9.7","999.9","  81.5","*","  62.6"," "," 0.00","G","999.9","000000"
"48866099999","2017-01-09","14.004522","108.017158","741.88","PLEIKU, VM","  71.2"," 6","  63.5"," 6","1011.4"," 6","924.1"," 6"," 12.4"," 6","  5.5"," 6","  7.8","999.9","  82.2"," ","  63.1","*"," 0.00","G","999.9","000000"
"48866099999","2017-01-10","14.004522","108.017158","741.88","PLEIKU, VM","  70.6"," 8","  63.2"," 8","1012.3"," 8","924.7"," 8"," 12.4"," 8","  4.9"," 8","  7.8","999.9","  81.3","*","  61.7"," "," 0.00","G","999.9","000000"
"48866099999","2017-01-11","14.004522","108.017158","741.88","PLEIKU, VM","  71.8"," 8","  62.8"," 8","1011.9"," 8","924.4"," 8"," 12.4"," 8","  4.6"," 8","  5.8","999.9","  82.6","*","  62.6","*"," 0.00","G","999.9","000000"
"48866099999","2017-01-12","14.004522","108.017158","741.88","PLEIKU, VM","  70.8"," 8","  64.0"," 8","1010.8"," 8","923.2"," 8"," 12.4"," 8","  3.3"," 7","  3.9","999.9","  81.1","*","  60.8"," "," 0.00","G","999.9","000000"
