"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"48866099999","2016-01-01","14.004522","108.017158","741.88","PLEIKU, VM","  70.1"," 8","  59.3"," 8","1018.8"," 8","930.6"," 8"," 12.4"," 8","  5.8"," 8","  9.7","999.9","  83.7","*","  60.8"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-02","14.004522","108.017158","741.88","PLEIKU, VM","  73.4"," 7","  63.4"," 7","1016.9"," 7","929.3"," 7"," 12.4"," 7","  2.8"," 7","  3.9","999.9","  81.0","*","  66.6","*"," 0.00","G","999.9","000000"
"48866099999","2016-01-03","14.004522","108.017158","741.88","PLEIKU, VM","  73.1"," 8","  65.2"," 8","1016.5"," 8","928.8"," 8"," 12.4"," 8","  3.6"," 8","  5.8","999.9","  82.4","*","  64.8"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-04","14.004522","108.017158","741.88","PLEIKU, VM","  73.2"," 8","  65.2"," 8","1016.4"," 8","928.8"," 8"," 12.4"," 8","  3.6"," 7","  5.8","999.9","  83.3","*","  64.8"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-05","14.004522","108.017158","741.88","PLEIKU, VM","  73.4"," 8","  65.0"," 8","1015.2"," 8","927.8"," 8"," 11.2"," 8","  3.9"," 8","  7.8","999.9","  82.0","*","  65.3"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-06","14.004522","108.017158","741.88","PLEIKU, VM","  73.2"," 8","  62.4"," 8","1016.2"," 8","928.7"," 8"," 10.9"," 8","  4.9"," 8","  7.8","999.9","  85.6","*","  63.0"," "," 0.00","G","999.9","100000"
"48866099999","2016-01-07","14.004522","108.017158","741.88","PLEIKU, VM","  72.1"," 8","  61.3"," 8","1016.7"," 8","928.9"," 8"," 11.2"," 8","  4.9"," 8","  5.8","999.9","  84.4","*","  61.3"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-08","14.004522","108.017158","741.88","PLEIKU, VM","  71.8"," 8","  62.8"," 8","1015.9"," 8","928.2"," 8"," 12.4"," 8","  5.6"," 8","  9.7","999.9","  84.9","*","  61.7"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-09","14.004522","108.017158","741.88","PLEIKU, VM","  71.3"," 8","  64.5"," 8","1015.6"," 8","927.8"," 8"," 12.4"," 8","  5.8"," 8","  7.8","999.9","  81.3","*","  64.0","*"," 0.00","G","999.9","000000"
"48866099999","2016-01-10","14.004522","108.017158","741.88","PLEIKU, VM","  73.1"," 8","  63.4"," 8","1014.6"," 8","927.3"," 8"," 11.2"," 8","  3.9"," 7","  7.8","999.9","  82.8","*","  63.5"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-11","14.004522","108.017158","741.88","PLEIKU, VM","  73.5"," 8","  65.0"," 8","1014.4"," 8","927.1"," 8"," 11.2"," 8","  3.3"," 7","  5.8","999.9","  82.8","*","  64.0"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-12","14.004522","108.017158","741.88","PLEIKU, VM","  72.9"," 8","  64.5"," 8","1014.3"," 8","926.9"," 8"," 12.4"," 8","  5.1"," 8","  7.8","999.9","  84.2","*","  65.1"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-13","14.004522","108.017158","741.88","PLEIKU, VM","  73.7"," 8","  64.0"," 8","1014.0"," 8","926.9"," 8"," 11.2"," 8","  4.9"," 8","  7.8","999.9","  85.5","*","  63.7"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-14","14.004522","108.017158","741.88","PLEIKU, VM","  73.7"," 8","  64.7"," 8","1013.6"," 8","926.2"," 8"," 11.2"," 8","  4.4"," 8","  5.8","999.9","  85.6","*","  64.4"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-15","14.004522","108.017158","741.88","PLEIKU, VM","  75.1"," 8","  65.8"," 8","1011.4"," 8","924.6"," 8"," 11.2"," 8","  3.3"," 7","  7.8","999.9","  84.9","*","  64.6"," "," 0.00","G","999.9","000000"
"48866099999","2016-01-16","14.004522","108.017158","741.88","PLEIKU, VM","  73.6"," 8","  68.3"," 8","1011.4"," 8","924.4"," 8"," 10.1"," 8","  1.9"," 6","  1.9","999.9","  81.5","*","  67.3"," "," 0.01","G","999.9","110000"
"48866099999","2016-01-17","14.004522","108.017158","741.88","PLEIKU, VM","  75.3"," 8","  66.6"," 8","1011.3"," 8","924.6"," 8","  9.7"," 8","  3.2"," 8","  5.8","999.9","  83.8","*","  68.5","*"," 0.00","G","999.9","100000"
"48866099999","2016-01-18","14.004522","108.017158","741.88","PLEIKU, VM","  73.9"," 8","  68.0"," 8","1012.3"," 8","925.2"," 8"," 10.4"," 8","  3.9"," 8","  3.9","999.9","  85.6","*","  67.6","*"," 0.31","G","999.9","010000"
"48866099999","2016-01-19","14.004522","108.017158","741.88","PLEIKU, VM","  74.4"," 8","  67.1"," 8","1014.0"," 8","926.8"," 8"," 12.4"," 8","  4.1"," 8","  7.8","999.9","  83.5","*","  66.9"," "," 0.00","G","999.9","000000"
